canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 ZAKU I SNIPER TYPE,HG,1/144,,JPY,2006-11-29,
HG 1/144 ZAKU II F TYPE SOLARI (RFV),HG,1/144,,JPY,2024-10-19,
HG 1/144 ZAKU II HIGH MOBILITY TYPE,HG,1/144,,JPY,2025-03-01,
HG 1/144 ZAKU II KAI,HG,1/144,,JPY,2008-05-01,
HG 1/144 ZAKU II TYPE C-6/R6,HG,1/144,,JPY,2019-04-27,
HG 1/144 ZAKU IIFZ TYPE-B (UNICORN Ver.),HG,1/144,,JPY,2017-05-01,
HG 1/144 ZAKU III CUSTOM (Twilight AXIS Ver.),HG,1/144,,JPY,2017-06-01,
HG 1/144 ZAKU(GQ),HG,1/144,,JPY,2025-11-08,
HG 1/144 ZAKU-III CUSTOM,HG,1/144,,JPY,1999-08-01,
HG 1/144 ZAKU-MARINER,HG,1/144,,JPY,2012-07-14,
HG 1/144 ZAKUI,HG,1/144,,JPY,2006-05-31,
HG 1/144 ZAKUI BLACK TRI STARS,HG,1/144,,JPY,2006-08-26,
HG 1/144 ZAKUI SNIPER TYPE (YONEM KIRKS),HG,1/144,,JPY,2012-03-24,
HG 1/144 ZAKUI[DENIM/SLENDER],HG,1/144,,JPY,2016-05-21,
HG 1/144 ZAKUII F TYPE CHUBS & KALE + ZAKUII (UNIDENTIFIED TYPE) SOLARI CUSTOM PARTS SET (RFV),HG,1/144,,JPY,2025-02-01,
HG 1/144 ZAKUII F TYPE LeSEAN & ZAKUII (UNIDENTIFIED TYPE) LeSEAN (RFV),HG,1/144,,JPY,2025-01-01,
HG 1/144 ZAKUII MASS PRODUCTION TYPE,HG,1/144,,JPY,2003-09-01,
HG 1/144 ZAKUII TYPE C/TYPE C-5,HG,1/144,,JPY,2017-09-02,
HG 1/144 ZAKUII+BIG GUN SET [GUNDAM THUNDERBOLT Ver.],HG,1/144,,JPY,2016-04-09,
HG 1/144 ZEDAS,HG,1/144,,JPY,2011-11-26,
HG 1/144 ZEDAS R,HG,1/144,,JPY,2012-01-28,
HG 1/144 ZEE ZULU,HG,1/144,,JPY,2011-11-26,
HG 1/144 ZETA GUNDAM,HG,1/144,,JPY,2003-10-01,
HG 1/144 ZETA GUNDAM (WAVE SHOOTER),HG,1/144,,JPY,2017-10-01,
HG 1/144 ZETA GUNDAM [CLEAR COLOR],HG,1/144,,JPY,2017-11-01,
HG 1/144 ZETA GUNDAM[U.C.0088],HG,1/144,,JPY,2018-09-01,
HG 1/144 ZETA PLUS C1,HG,1/144,,JPY,2016-11-01,
HG 1/144 ZETA plus(TEST IMAGE COLOR),HG,1/144,,JPY,2020-04-01,
HG 1/144 ZETA PLUS(UNICORN Ver.),HG,1/144,,JPY,2014-07-12,
HG 1/144 ZEYDRA,HG,1/144,,JPY,2012-02-25,
HG 1/144 ZII,HG,1/144,,JPY,2014-09-13,
HG 1/144 ZOCK,HG,1/144,,JPY,2007-07-01,
HG 1/144 ZOGOK (Operation Capture of Jaburo ver.),HG,1/144,,JPY,2013-10-01,
HG 1/144 ZOGOK (UNICORN VER.),HG,1/144,,JPY,2013-09-07,
HG 1/144 ZOWORT,HG,1/144,,JPY,2023-02-11,
HG 1/144 ZOWORT HEAVY,HG,1/144,,JPY,2023-04-08,
HG 1/144 ZSSA,HG,1/144,,JPY,2015-07-01,
HG 1/144 ZSSA (UNICORN Ver.),HG,1/144,,JPY,2014-06-21,
HG 1/144 ZUDAH,HG,1/144,,JPY,2006-06-10,
HG 1/144 ZZ GUNDAM,HG,1/144,,JPY,2010-06-17,
HG 1/144 ZZ II,HG,1/144,,JPY,2016-08-06,
HG 1/144 δ(DELTA) PLUS,HG,1/144,,JPY,2010-09-11,
HG 1/144 ν-ZEON GUNDAM,HG,1/144,,JPY,2019-11-16,
HG 1/144 νGUNDAM,HG,1/144,,JPY,2008-03-01,
HG 1/144 νGUNDAM (HEAVY WEAPON SYSTEM),HG,1/144,,JPY,2009-04-25,
HG 1/144 ∀ GUNDAM,HG,1/144,,JPY,2014-04-12,
HG 1/144 ∀GUNDAM SHIN,HG,1/144,,JPY,2015-11-01,
HG 1/144 ∞ JUSTICE GUNDAM,HG,1/144,,JPY,2020-05-23,
HG 1/550 AMX-002 NEUE ZIEL,HG,1/550,,JPY,2002-01-01,
HG 1/550 MA-06 VAL WALO,HG,1/550,,JPY,2002-06-01,
HG 1/550 RX-78GP03 DENDROBIUM,HG,1/550,,JPY,2001-07-01,
